,date,city,state,winscore,losscore,loser,winner,locale,TSU score,opponent score,scorediff,scorediff_abs,winloss,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,opponent,gametype,year
63,2008-10-25,Cape Girardeau,MO,27,20,Tennessee State University,Southeast Missouri State University,Away,20,27,-7,7,Loss,9750,217,233,72,18,54,27,2.0,15,1,Southeast Missouri State University,conference,2008
64,2008-11-01,Nashville,TN,41,14,Tennessee Tech University,Tennessee State University,Home,41,14,27,27,Win,24361,212,138,32,37,67,30,2.0,16,4,Tennessee Tech University,conference,2008
65,2008-11-08,Nashville,TN,45,24,Eastern Illinois University,Tennessee State University,Home,45,24,21,21,Win,6393,309,162,59,4,68,19,2.0,13,4,Eastern Illinois University,conference,2008
66,2008-11-15,Jacksonville,AL,26,21,Tennessee State University,Jacksonville State University,Away,21,26,-5,5,Loss,7956,177,170,57,42,69,10,1.0,8,7,Jacksonville State University,conference,2008
67,2008-11-22,Murray,KY,24,17,Tennessee State University,Murray State University,Away,17,24,-7,7,Loss,2292,113,210,57,-2,60,26,2.0,11,5,Murray State University,conference,2008
68,2009-09-05,Nashville,TN,24,7,Tennessee State University,Alabama A&M University,Home,7,24,-17,17,Loss,23871,13,178,46,0,71,18,1.0,7,6,Alabama A&M University,nonconference,2009
69,2009-09-12,Memphis,TN,14,7,Jackson State University,Tennessee State University,Away,14,7,7,7,Win,43306,217,43,19,20,60,42,3.0,26,9,Jackson State University,nonconference,2009
70,2009-09-19,Baton Rouge,LA,21,17,Tennessee State University,Southern University & A&M College,Away,17,21,-4,4,Loss,12247,169,86,75,13,81,28,3.0,15,8,Southern University & A&M College,nonconference,2009
71,2009-09-26,Atlanta,GA,31,12,Tennessee State University,Florida A&M University,Away,12,31,-19,19,Loss,51950,167,107,95,2,63,14,1.0,5,6,Florida A&M University,nonconference,2009
72,2009-10-03,Nashville,TN,23,17,Southeast Missouri State University,Tennessee State University,Home,23,17,6,6,Win,6314,259,95,72,30,58,20,3.0,15,5,Southeast Missouri State University,conference,2009
73,2009-10-10,Richmond,KY,20,17,Eastern Kentucky University,Tennessee State University,Away,20,17,3,3,Win,7100,159,124,81,24,52,24,3.0,14,8,Eastern Kentucky University,conference,2009
74,2009-10-17,Nashville,TN,9,6,Tennessee State University,Murray State University,Home,6,9,-3,3,Loss,5572,169,68,64,5,69,21,2.0,12,6,Murray State University,conference,2009
75,2009-10-31,Cookeville,TN,20,13,Tennessee State University,Tennessee Tech University,Away,13,20,-7,7,Loss,7999,152,128,78,7,56,35,2.0,18,7,Tennessee Tech University,conference,2009
76,2009-11-07,Nashville,TN,28,7,Tennessee State University,University of Tennessee Martin,Home,7,28,-21,21,Loss,22092,62,207,97,7,83,9,0.0,0,7,University of Tennessee Martin,conference,2009
77,2009-11-14,Clarksville,TN,24,21,Tennessee State University,Austin Peay State University,Away,21,24,-3,3,Loss,6968,104,189,60,2,73,6,0.0,0,8,Austin Peay State University,conference,2009
78,2009-11-19,Charleston,IL,21,10,Eastern Illinois University,Tennessee State University,Away,21,10,11,11,Win,3509,176,135,55,-4,47,19,2.0,11,8,Eastern Illinois University,conference,2009
79,2010-09-04,Nashville,TN,27,14,Alabama A&M University,Tennessee State University,Home,27,14,13,13,Win,22607,107,127,127,36,64,42,7.0,40,6,Alabama A&M University,nonconference,2010
80,2010-09-11,Memphis,TN,33,26,Tennessee State University,Jackson State University,Away,26,33,-7,7,Loss,44688,224,185,133,28,60,26,0.0,0,6,Jackson State University,nonconference,2010
81,2010-09-18,Nashville,TN,26,23,Tennessee State University,Austin Peay State University,Home,23,26,-3,3,Loss,8502,162,225,134,25,57,24,2.0,13,3,Austin Peay State University,conference,2010
82,2010-09-25,Atlanta,GA,29,18,Florida A&M University,Tennessee State University,Away,29,18,11,11,Win,54202,304,109,33,142,58,60,8.0,48,5,Florida A&M University,nonconference,2010
83,2010-10-02,Indianapolis,IN,37,7,North Carolina A&T State University,Tennessee State University,Away,37,7,30,30,Win,35217,379,142,20,13,66,34,5.0,31,4,North Carolina A&T State University,nonconference,2010
84,2010-10-09,Cape Girardeau,MO,19,17,Tennessee State University,Southeast Missouri State University,Away,17,19,-2,2,Loss,10316,152,147,90,0,86,17,1.0,9,5,Southeast Missouri State University,conference,2010
85,2010-10-16,Jacksonville,AL,24,0,Tennessee State University,Jacksonville State University,Away,0,24,-24,24,Loss,15218,154,65,61,-19,66,11,0.0,0,8,Jacksonville State University,conference,2010
86,2010-10-23,Nashville,TN,21,10,Tennessee State University,Tennessee Tech University,Home,10,21,-11,11,Loss,6739,158,203,56,1,67,24,1.0,4,3,Tennessee Tech University,conference,2010
87,2010-11-06,Nashville,TN,31,28,Tennessee State University,Eastern Illinois University,Home,28,31,-3,3,Loss,21596,180,277,29,21,66,19,1.0,7,7,Eastern Illinois University,conference,2010
88,2010-11-13,Martin,TN,37,0,Tennessee State University,University of Tennessee Martin,Away,0,37,-37,37,Loss,3141,72,51,116,2,55,12,1.0,7,9,University of Tennessee Martin,conference,2010
89,2010-11-20,Murray,KY,28,23,Tennessee State University,Murray State University,Away,23,28,-5,5,Loss,2904,198,289,134,1,65,30,1.0,4,5,Murray State University,conference,2010
90,2011-09-03,Nashville,TN,33,7,Southern University & A&M College,Tennessee State University,Home,33,7,26,26,Win,25209,342,170,48,0,45,41,5.0,30,3,Southern University & A&M College,nonconference,2011
91,2011-09-10,Memphis,TN,35,29,Tennessee State University,Jackson State University,Away,29,35,-6,6,Loss,43532,78,226,146,5,64,45,3.0,31,6,Jackson State University,nonconference,2011
92,2011-09-17,Murray,KY,58,27,Tennessee State University,Murray State University,Away,27,58,-31,31,Loss,10031,168,207,197,17,94,32,3.0,21,9,Murray State University,conference,2011
93,2011-09-24,Air Force Academy,CO,63,24,Tennessee State University,Air Force Academy,Away,24,63,-39,39,Loss,33487,188,206,97,0,88,0,0.0,0,8,Air Force Academy,nonconference,2011
94,2011-10-01,Clarksville,TN,37,34,Tennessee State University,Austin Peay State University,Away,34,37,-3,3,Loss,8614,162,304,158,0,61,20,2.0,10,2,Austin Peay State University,conference,2011
95,2011-10-08,Nashville,TN,55,3,Southeast Missouri State University,Tennessee State University,Home,55,3,52,52,Win,6234,258,278,15,115,54,17,1.0,9,2,Southeast Missouri State University,conference,2011
96,2011-10-15,Cookeville,TN,42,40,Tennessee Tech University,Tennessee State University,Away,42,40,2,2,Win,8676,166,232,118,5,88,38,5.0,32,5,Tennessee Tech University,conference,2011
97,2011-10-22,Richmond,KY,33,22,Tennessee State University,Eastern Kentucky University,Away,22,33,-11,11,Loss,10800,65,343,112,17,80,20,3.0,14,4,Eastern Kentucky University,conference,2011
98,2011-11-05,Charleston,IL,18,17,Eastern Illinois University,Tennessee State University,Away,18,17,1,1,Win,6774,200,118,64,0,59,23,3.0,17,7,Eastern Illinois University,conference,2011
99,2011-11-12,Nashville,TN,35,30,University of Tennessee Martin,Tennessee State University,Home,35,30,5,5,Win,19537,253,263,46,5,53,14,1.0,1,5,University of Tennessee Martin,conference,2011
100,2011-11-19,Nashville,TN,38,16,Tennessee State University,Jacksonville State University,Home,16,38,-22,22,Loss,6137,87,262,129,16,50,18,2.0,10,5,Jacksonville State University,conference,2011
101,2012-09-01,Nashville,TN,17,14,Florida A&M University,Tennessee State University,Home,17,14,3,3,Win,15652,138,263,52,8,49,28,1.0,5,5,Florida A&M University,nonconference,2012
102,2012-09-08,Memphis,TN,38,12,Jackson State University,Tennessee State University,Away,38,12,26,26,Win,42257,235,137,69,42,66,21,3.0,20,8,Jackson State University,nonconference,2012
103,2012-09-15,Nashville,TN,34,14,Austin Peay State University,Tennessee State University,Home,34,14,20,20,Win,14264,112,322,24,7,55,13,1.0,9,3,Austin Peay State University,conference,2012
104,2012-09-22,Daytona Beach,FL,21,14,Bethune Cookman University,Tennessee State University,Away,21,14,7,7,Win,9461,200,157,41,37,84,52,4.0,30,7,Bethune Cookman University,nonconference,2012
105,2012-09-29,Nashville,TN,40,13,University of Arkansas Pine Bluff,Tennessee State University,Home,40,13,27,27,Win,31765,201,262,47,4,62,40,3.0,29,4,University of Arkansas Pine Bluff,nonconference,2012
106,2012-10-05,Nashville,TN,23,20,Eastern Kentucky University,Tennessee State University,Home,23,20,3,3,Win,9878,139,227,63,0,67,11,3.0,6,5,Eastern Kentucky University,conference,2012
107,2012-10-13,Cape Girardeau,MO,40,28,Southeast Missouri State University,Tennessee State University,Away,40,28,12,12,Win,4800,306,154,56,6,74,21,2.0,13,1,Southeast Missouri State University,conference,2012
108,2012-10-20,Jacksonville,AL,31,28,Tennessee State University,Jacksonville State University,Away,28,31,-3,3,Loss,14867,184,311,62,0,62,15,1.0,9,5,Jacksonville State University,conference,2012
109,2012-10-27,Nashville,TN,22,21,Tennessee Tech University,Tennessee State University,Home,22,21,1,1,Win,11373,158,294,54,44,48,13,1.0,8,4,Tennessee Tech University,conference,2012
110,2012-11-03,Murray,KY,49,28,Tennessee State University,Murray State University,Away,28,49,-21,21,Loss,3112,138,273,195,0,72,11,1.0,7,6,Murray State University,conference,2012
111,2012-11-17,Martin,TN,35,26,Tennessee State University,University of Tennessee Martin,Away,26,35,-9,9,Loss,6322,122,355,101,0,79,24,1.0,6,5,University of Tennessee Martin,conference,2012
112,2013-09-01,Nashville,TN,12,9,Tennessee State University,Bethune Cookman University,Home,9,12,-3,3,Loss,16108,116,132,84,51,62,7,1.0,4,5,Bethune Cookman University,nonconference,2013
113,2013-09-07,Tallahassee,FL,27,7,Florida A&M University,Tennessee State University,Away,27,7,20,20,Win,14237,268,131,111,17,41,35,3.0,18,4,Florida A&M University,nonconference,2013
114,2013-09-14,Memphis,TN,26,16,Jackson State University,Tennessee State University,Away,26,16,10,10,Win,42400,174,111,64,11,69,26,2.0,13,3,Jackson State University,nonconference,2013
115,2013-09-21,Cookeville,TN,41,21,Tennessee Tech University,Tennessee State University,Away,41,21,20,20,Win,10044,95,343,63,23,76,51,3.0,28,5,Tennessee Tech University,conference,2013
116,2013-09-28,St. Louis,MO,73,6,Central State University,Tennessee State University,Away,73,6,67,67,Win,22000,311,228,46,75,70,44,3.0,17,1,Central State University,nonconference,2013
117,2013-10-05,Nashville,TN,40,16,Southeast Missouri State University,Tennessee State University,Home,40,16,24,24,Win,7374,264,280,24,7,37,12,1.0,8,3,Southeast Missouri State University,conference,2013
118,2013-10-12,Jacksonville,AL,31,15,Jacksonville State University,Tennessee State University,Away,31,15,16,16,Win,19092,215,133,48,46,70,61,5.0,18,6,Jacksonville State University,conference,2013
119,2013-10-19,Martin,TN,29,15,University of Tennessee Martin,Tennessee State University,Away,29,15,14,14,Win,4166,69,170,64,0,78,56,5.0,35,6,University of Tennessee Martin,conference,2013
120,2013-10-26,Nashville,TN,34,16,Tennessee State University,Eastern Illinois University,Home,16,34,-18,18,Loss,22157,126,212,19,56,70,31,3.0,27,8,Eastern Illinois University,conference,2013
121,2013-11-02,Richmond,KY,44,0,Tennessee State University,Eastern Kentucky University,Away,0,44,-44,44,Loss,5700,71,101,96,-1,63,3,0.0,0,9,Eastern Kentucky University,conference,2013
122,2013-11-09,Nashville,TN,31,6,Austin Peay State University,Tennessee State University,Home,31,6,25,25,Win,5258,146,173,8,13,60,59,5.0,37,5,Austin Peay State University,conference,2013
123,2013-11-16,Nashville,TN,17,10,Murray State University,Tennessee State University,Home,17,10,7,7,Win,6412,241,60,45,19,54,31,3.0,20,8,Murray State University,conference,2013
124,2013-11-30,Indianapolis,IN,31,0,Butler University,Tennessee State University,Away,31,0,31,31,Win,1928,152,263,-9,-3,47,21,2.0,7,4,Butler University,nonconference,2013
125,2013-12-07,Charleston,IL,51,10,Tennessee State University,Eastern Illinois University,Away,10,51,-41,41,Loss,4825,45,242,52,2,73,13,1.0,5,8,Eastern Illinois University,conference,2013
126,2014-08-30,Nashville,TN,58,6,Edward Waters College,Tennessee State University,Home,58,6,52,52,Win,10541,439,71,77,57,53,38,2.0,13,1,Edward Waters College,nonconference,2014
127,2014-09-06,Montgomery,AL,27,21,Tennessee State University,Alabama State University,Away,21,27,-6,6,Loss,15725,92,340,111,22,89,28,3.0,13,8,Alabama State University,nonconference,2014
128,2014-09-13,Memphis,TN,35,7,Jackson State University,Tennessee State University,Away,35,7,28,28,Win,46914,137,187,29,40,54,40,7.0,33,8,Jackson State University,nonconference,2014
129,2014-09-20,Nashville,TN,10,7,Tennessee Tech University,Tennessee State University,Home,10,7,3,3,Win,9217,92,113,0,15,48,31,6.0,28,9,Tennessee Tech University,conference,2014
130,2014-09-27,Nashville,TN,27,7,Florida A&M University,Tennessee State University,Home,27,7,20,20,Win,29225,125,153,24,56,64,51,7.0,44,7,Florida A&M University,nonconference,2014
131,2014-10-04,Cape Girardeau,MO,28,21,Tennessee State University,Southeast Missouri State University,Away,21,28,-7,7,Loss,8089,143,362,53,24,81,9,0.0,0,5,Southeast Missouri State University,conference,2014
132,2014-10-11,Nashville,TN,27,20,Tennessee State University,Jacksonville State University,Home,20,27,-7,7,Loss,5849,43,364,63,12,75,21,2.0,13,3,Jacksonville State University,conference,2014
133,2014-10-18,Nashville,TN,21,16,Tennessee State University,University of Tennessee Martin,Home,16,21,-5,5,Loss,6738,53,314,32,-1,73,48,3.0,22,8,University of Tennessee Martin,conference,2014
134,2014-10-25,Charleston,IL,28,3,Tennessee State University,Eastern Illinois University,Away,3,28,-25,25,Loss,8289,107,180,136,1,54,17,1.0,9,6,Eastern Illinois University,conference,2014
135,2014-11-01,Nashville,TN,56,42,Tennessee State University,Eastern Kentucky University,Home,42,56,-14,14,Loss,5052,105,326,198,0,84,19,2.0,4,5,Eastern Kentucky University,conference,2014
136,2014-11-08,Clarksville,TN,31,27,Austin Peay State University,Tennessee State University,Away,31,27,4,4,Win,6143,111,395,58,-2,85,29,2.0,15,0,Austin Peay State University,conference,2014
137,2014-11-22,Murray,KY,48,33,Murray State University,Tennessee State University,Away,48,33,15,15,Win,1962,114,463,48,0,81,63,8.0,51,6,Murray State University,conference,2014
138,2015-09-06,Nashville,TN,24,14,Alabama State University,Tennessee State University,Home,24,14,10,10,Win,22455,142,188,58,38,47,21,1.0,12,5,Alabama State University,nonconference,2015
139,2015-09-12,Memphis,TN,35,25,Jackson State University,Tennessee State University,Away,35,25,10,10,Win,48385,110,304,152,48,83,38,5.0,31,5,Jackson State University,nonconference,2015
140,2015-09-19,Jacksonville,AL,48,13,Tennessee State University,Jacksonville State University,Away,13,48,-35,35,Loss,23413,24,184,102,0,83,4,0.0,0,7,Jacksonville State University,conference,2015
141,2015-09-26,Tallahassee,FL,30,14,Florida A&M University,Tennessee State University,Away,30,14,16,16,Win,18020,169,238,46,15,68,44,4.0,22,8,Florida A&M University,nonconference,2015
142,2015-10-10,Martin,TN,28,14,Tennessee State University,University of Tennessee Martin,Away,14,28,-14,14,Loss,7123,85,205,40,4,71,7,0.0,0,6,University of Tennessee Martin,conference,2015
143,2015-10-17,Nashville,TN,25,22,Tennessee State University,Eastern Illinois University,Home,22,25,-3,3,Loss,22144,162,125,22,22,60,12,0.0,0,7,Eastern Illinois University,conference,2015
144,2015-10-24,Richmond,KY,45,21,Tennessee State University,Eastern Kentucky University,Away,21,45,-24,24,Loss,9400,129,222,4,11,65,12,0.0,0,5,Eastern Kentucky University,conference,2015
145,2015-10-31,Nashville,TN,20,6,Austin Peay State University,Tennessee State University,Home,20,6,14,14,Win,5985,165,76,46,-2,62,7,0.0,0,7,Austin Peay State University,conference,2015
146,2015-11-07,Nashville,TN,46,43,Tennessee State University,Murray State University,Home,43,46,-3,3,Loss,7897,125,329,86,3,92,69,8.0,55,6,Murray State University,conference,2015
147,2015-11-21,Cookeville,TN,30,24,Tennessee State University,Tennessee Tech University,Away,24,30,-6,6,Loss,3924,123,221,61,9,53,28,3.0,25,5,Tennessee Tech University,conference,2015
